image_key,ranSel_key,sample_order,camera,file,image_number,operation_id,platfrom,source_path,random_seed,sample_size,sample_base,scorable,quadrat,copied,dest_file,total_pairs,RanSelNo,OpsNo,ImageNo
015_0095,015_060,60,SCS,MRITC_SCS_IN2018_V06_015_20181125T052012Z_0095.JPG,95,IN2018_V06_015,MRITC,NA,3245,264,132,OS,FALSE,FALSE,S060_MRITC_SCS_IN2018_V06_015_20181125T052012Z_0095.JPG,527,60,15,95
021_0036,021_060,60,SCS,MRITC_SCS_IN2018_V06_021_20181126T021912Z_0036.JPG,36,IN2018_V06_021,MRITC,NA,4073,90,45,OS,FALSE,FALSE,S060_MRITC_SCS_IN2018_V06_021_20181126T021912Z_0036.JPG,180,60,21,36
022_0075,022_061,61,SCS,MRITC_SCS_IN2018_V06_022_20181126T043045Z_0075.JPG,75,IN2018_V06_022,MRITC,NA,5451,101,51,OS,FALSE,FALSE,S061_MRITC_SCS_IN2018_V06_022_20181126T043045Z_0075.JPG,201,61,22,75
012_0019,012_062,62,SCS,MRITC_SCS_IN2018_V06_012_20181124T231457Z_0019.JPG,19,IN2018_V06_012,MRITC,NA,7165,132,66,OS,FALSE,FALSE,S062_MRITC_SCS_IN2018_V06_012_20181124T231457Z_0019.JPG,263,62,12,19
015_0359,015_062,62,SCS,MRITC_SCS_IN2018_V06_015_20181125T055552Z_0359.JPG,359,IN2018_V06_015,MRITC,NA,3245,264,132,OS,FALSE,FALSE,S062_MRITC_SCS_IN2018_V06_015_20181125T055552Z_0359.JPG,527,62,15,359
021_0126,021_062,62,SCS,MRITC_SCS_IN2018_V06_021_20181126T023412Z_0126.JPG,126,IN2018_V06_021,MRITC,NA,4073,90,45,OS,FALSE,FALSE,S062_MRITC_SCS_IN2018_V06_021_20181126T023412Z_0126.JPG,180,62,21,126
012_0282,012_063,63,SCS,MRITC_SCS_IN2018_V06_012_20181124T234812Z_0282.JPG,282,IN2018_V06_012,MRITC,NA,7165,132,66,OS,FALSE,FALSE,S063_MRITC_SCS_IN2018_V06_012_20181124T234812Z_0282.JPG,263,63,12,282
014_0034,014_063,63,SCS,MRITC_SCS_IN2018_V06_014_20181125T024809Z_0034.JPG,34,IN2018_V06_014,MRITC,NA,2966,82,41,OS,FALSE,FALSE,S063_MRITC_SCS_IN2018_V06_014_20181125T024809Z_0034.JPG,163,63,14,34
022_0175,022_063,63,SCS,MRITC_SCS_IN2018_V06_022_20181126T050405Z_0175.JPG,175,IN2018_V06_022,MRITC,NA,5451,101,51,OS,FALSE,FALSE,S063_MRITC_SCS_IN2018_V06_022_20181126T050405Z_0175.JPG,201,63,22,175
012_0150,012_064,64,SCS,MRITC_SCS_IN2018_V06_012_20181124T233327Z_0150.JPG,150,IN2018_V06_012,MRITC,NA,7165,132,66,OS,FALSE,FALSE,S064_MRITC_SCS_IN2018_V06_012_20181124T233327Z_0150.JPG,263,64,12,150
